X;Y;Z
-108.536;0.1112;0.0913
-108.551;0.1167;0.0549
-108.5404;0.1208;0.0642
-108.5387;0.1282;0.086
-108.5479;0.1238;0.0423
-108.5368;0.1299;0.094
-108.546;0.1261;0.0495
-108.5414;0.1313;0.0811
-108.5458;0.1326;0.0801
-108.5439;0.1325;0.052
-108.5446;0.1397;0.1022
-108.5503;0.1362;0.044
-108.5414;0.1413;0.0893
-108.553;0.1429;0.0689
-108.5477;0.1415;0.0607
-108.5479;0.1443;0.0957
-108.554;0.1436;0.0493
-108.5466;0.1458;0.0983
-108.5521;0.1425;0.0587
-108.5493;0.1442;0.0809
-108.5494;0.1436;0.0858
-108.5486;0.1414;0.0635
-108.5505;0.1467;0.1017
-108.5526;0.1459;0.0638
-108.5489;0.1468;0.0934
-108.5575;0.146;0.0787
-108.5496;0.1481;0.077
-108.5508;0.1498;0.0929
-108.5527;0.1508;0.0705
-108.547;0.1527;0.0922
-108.5522;0.152;0.0781
-108.5513;0.1548;0.0872
-108.5517;0.1544;0.0889
-108.5513;0.1519;0.0725
-108.5537;0.1509;0.095
-108.5547;0.1515;0.0705
-108.5504;0.1491;0.0876
-108.5546;0.1514;0.0864
-108.5515;0.1512;0.0815
-108.5518;0.151;0.0977
-108.5533;0.1479;0.0753
-108.5483;0.1504;0.0947
-108.5508;0.1502;0.0822
-108.5521;0.1457;0.0839
-108.551;0.1435;0.0857
-108.551;0.1445;0.0765
-108.5545;0.1449;0.0891
-108.5509;0.1441;0.0738
-108.548;0.1454;0.0838
-108.5518;0.1437;0.077
-108.5481;0.1437;0.0768
-108.5493;0.1434;0.0859
-108.5522;0.1443;0.0731
-108.5479;0.1419;0.0834
-108.5514;0.1427;0.0737
-108.5511;0.143;0.0761
-108.5492;0.1444;0.0801
-108.5497;0.1456;0.0734
-108.5514;0.1451;0.0869
-108.5535;0.1443;0.0698
-108.5525;0.1436;0.0807
-108.5543;0.1428;0.0777
-108.5527;0.1433;0.0714
-108.5528;0.1432;0.084
-108.5546;0.1439;0.0718
-108.5501;0.1431;0.08
-108.5544;0.143;0.0757
-108.554;0.1437;0.0749
-108.5531;0.1463;0.08
-108.5545;0.1462;0.0701
-108.5514;0.1475;0.0824
-108.5537;0.1461;0.0727
-108.5543;0.1466;0.078
-108.5564;0.1462;0.0792
-108.5582;0.1465;0.0744
-108.5598;0.1416;0.0833
-108.5616;0.1415;0.0739
-108.5588;0.1427;0.08
-108.5627;0.1391;0.0778
-108.5628;0.1373;0.0743
-108.5629;0.137;0.0794
-108.5653;0.1412;0.0748
-108.5656;0.1415;0.0762
-108.5663;0.1438;0.0741
-108.563;0.1401;0.0744
-108.5312;0.1281;0.2741
-108.7432;0.0645;0.4059
-108.9313;-0.6323;0.8581
-107.3376;-2.0468;3.2626
-103.7488;-4.1319;4.9255
-99.1036;-8.1829;4.2435
-96.4648;-12.7046;1.0022
-96.785;-16.183;-4.5469
-98.3939;-19.5878;-10.7343
-100.1361;-21.7654;-17.1846
-100.6953;-22.6202;-23.2702
-99.1755;-22.2464;-28.0896
-97.1513;-20.9184;-30.2064
-96.4771;-18.6024;-29.3378
-96.7414;-15.8194;-26.6347
-98.3404;-14.156;-23.4524
-98.8531;-13.2586;-21.6418
-99.293;-12.6117;-20.5387
-98.9396;-12.2195;-19.8486
-98.1053;-11.6947;-19.938
-97.278;-11.2223;-20.1883
-96.5152;-11.7441;-19.7058
-96.0181;-13.3288;-18.8371
-95.516;-16.5349;-17.1678
-94.9573;-22.1652;-15.9012
-95.325;-29.7252;-13.8584
-94.3459;-38.06;-11.121
-91.9231;-45.8923;-7.6277
-89.7191;-52.5848;-4.2772
-89.1489;-57.4576;-2.2997
-90.5482;-60.6154;-1.8251
-92.5331;-62.1556;-2.5502
-95.4259;-61.0229;-4.4907
-99.0363;-56.669;-7.3396
-101.7784;-49.7029;-9.8366
-102.819;-41.4641;-11.371
-102.8059;-32.8677;-11.9429
-102.7604;-24.7816;-12.5515
-103.3934;-17.6493;-13.4572
-104.0283;-12.277;-14.4331
-104.0081;-8.7448;-15.4936
-103.8579;-6.624;-17.2546
-104.7944;-5.6743;-18.1184
-106.5981;-4.7198;-17.7182
-108.9777;-4.6202;-17.3096
-110.7681;-5.1513;-16.8305
-112.1397;-5.0844;-15.5271
-113.5431;-4.8371;-14.1762
-114.7185;-5.0427;-13.7721
-114.388;-5.2889;-14.4172
-113.8758;-5.7543;-14.7922
-114.0072;-5.7484;-15.2658
-113.9896;-5.6932;-15.1703
-114.1331;-5.6121;-14.4727
-114.0605;-5.3644;-13.6752
-113.784;-5.3669;-13.3419
-113.5992;-5.4347;-13.3837
-113.5168;-5.4594;-13.7055
-113.4623;-5.3657;-13.9213
-113.6905;-4.9469;-14.2112
-114.3168;-4.3329;-14.0806
-114.7059;-3.671;-13.9551
-114.8691;-2.9994;-14.0303
-114.7451;-2.4149;-14.3238
-114.6577;-1.8384;-13.8108
-115.3195;-1.2839;-12.6532
-115.723;-0.8101;-11.3276
-115.7929;-0.4011;-9.4963
-115.8446;0.4768;-6.8521
-116.5492;1.5527;-3.9578
-116.5837;2.6407;-1.9641
-116.3302;3.3644;-0.8585
-115.5596;3.6015;-1.2333
-115.3722;3.7035;-1.9734
-115.3904;3.3636;-2.7374
-115.4999;2.9768;-3.1403
-116.4388;2.9308;-2.9824
-117.517;2.5049;-2.4062
-118.4353;2.2758;-1.9397
-118.9252;1.9272;-1.8799
-119.3005;1.594;-2.034
-119.5981;1.2168;-2.0366
-119.8969;0.8862;-1.6202
-120.2093;0.9159;-0.9578
-119.9629;0.9269;-0.4163
